Plot	Field_C	Field_C_color	N_add	CO2_flux	C_turnover	pH	C	N	P	NO3	NH4	OlsenPO4	C_N	C_P	N_P	N_Pextr	kgPi_ha
X5C_0N_105	"5 %C"	"#CC0000"	control	1396.2	0.491	6.07	4.66	0.356	0.063	1.44	5.48	17.6	15.3	191.1	12.5	0.9	10.74
X5C_0N_203	"5 %C"	"#CC0000"	control	1386.4	0.431	5.79	5.40	0.421	0.073	3.71	5.67	20.5	15.0	191.1	12.8	1.0	12.23
X5C_0N_302	"5 %C"	"#CC0000"	control	1221.7	0.438	5.95	4.83	0.371	0.068	2.28	5.08	20.1	15.2	183.5	12.1	0.8	11.61
X5C_0N_404	"5 %C"	"#CC0000"	control	991.9	0.44	5.58	3.65	0.296	0.056	2.76	4.71	15.3	14.4	168.4	11.7	1.1	9.46
X5C_80N_102	"5 %C"	"#CC0000"	80	2018	0.785	5.72	4.28	0.383	0.072	3.58	6.13	21.9	13.0	153.6	11.8	1.0	13.15
X5C_80N_201	"5 %C"	"#CC0000"	80	1711.5	0.579	5.85	4.91	0.414	0.071	3.49	6.48	20.1	13.8	178.7	12.9	1.1	12.11
X5C_80N_305	"5 %C"	"#CC0000"	80	1484.4	0.581	5.75	4.23	0.358	0.064	3.71	5.61	18.7	13.8	170.7	12.4	1.1	11.30
X5C_80N_405	"5 %C"	"#CC0000"	80	1765.6	0.643	5.79	4.53	0.392	0.064	2.60	4.28	18.7	13.5	182.9	13.6	0.8	11.34
X10C_0N_101	"10 %C"	"#FF6600"	control	1440.4	0.344	5.88	10.15	0.785	0.109	3.88	8.50	20.1	15.1	240.6	15.9	1.4	8.30
X10C_0N_202	"10 %C"	"#FF6600"	control	1700	0.402	5.81	10.50	0.824	0.111	4.14	9.91	21.5	14.9	244.4	16.4	1.5	8.66
X10C_0N_303	"10 %C"	"#FF6600"	control	1877.6	0.485	5.68	9.61	0.764	0.114	5.47	8.45	22.5	14.7	217.8	14.8	1.4	9.07
X10C_0N_404	"10 %C"	"#FF6600"	control	1771	0.469	5.65	9.13	0.766	0.120	4.04	8.14	22.5	13.9	196.5	14.1	1.2	9.31
X10C_80N_103	"10 %C"	"#FF6600"	80	2522.6	0.624	5.84	10.26	0.823	0.108	4.74	8.86	19.1	14.5	245.4	16.9	1.6	7.52
X10C_80N_204	"10 %C"	"#FF6600"	80	2356.7	0.591	5.80	9.76	0.794	0.112	4.12	9.25	20.9	14.3	225.1	15.7	1.4	8.53
X10C_80N_304	"10 %C"	"#FF6600"	80	2164.8	0.594	5.56	8.84	0.744	0.111	3.40	7.26	23.5	13.9	205.7	14.8	1.0	9.68
X10C_80N_401	"10 %C"	"#FF6600"	80	2404.3	0.613	5.90	10.02	0.851	0.110	2.05	10.80	20.5	13.7	235.3	17.1	1.4	8.03
X20C_0N_104	"20 %C"	"#009900"	control	1873.6	0.358	6.46	18.09	1.280	0.110	1.35	12.06	11.8	16.5	424.8	25.8	2.5	3.42
X20C_0N_205	"20 %C"	"#009900"	control	2150	0.403	6.75	18.00	1.291	0.111	1.05	11.77	12.6	16.3	418.9	25.8	2.3	3.73
X20C_0N_301	"20 %C"	"#009900"	control	1959.3	0.384	6.72	17.37	1.222	0.135	1.11	10.17	18.7	16.6	332.4	20.0	1.3	5.50
X20C_0N_404	"20 %C"	"#009900"	control	1072.7	0.208	6.60	17.52	1.241	0.118	1.17	10.79	14.6	16.5	383.6	23.3	1.8	4.30
X20C_80N_103	"20 %C"	"#009900"	80	1906.2	0.367	6.67	17.75	1.283	0.105	0.86	9.95	9.7	16.1	436.7	27.1	2.5	2.84
X20C_80N_201	"20 %C"	"#009900"	80	1997	0.404	6.60	16.75	1.282	0.113	1.19	11.38	13.3	15.2	382.9	25.1	2.1	3.93
X20C_80N_302	"20 %C"	"#009900"	80	1674.9	0.322	6.60	17.24	1.239	0.126	1.35	20.87	17.5	16.2	353.5	21.8	2.8	5.28
X20C_80N_403	"20 %C"	"#009900"	80	1362.1	0.28	6.45	17.29	1.240	0.126	1.37	15.86	17.9	16.3	354.5	21.8	2.1	5.03
X25C_0N_101	"25 %C"	"#003366"	control	884.9	0.164	6.30	23.58	1.402	0.063	1.13	12.79	3.2	19.6	966.9	49.3	9.6	0.73
X25C_0N_202	"25 %C"	"#003366"	control	526	0.111	6.10	24.81	1.455	0.058	2.09	18.53	4.4	19.9	1105.0	55.5	10.4	0.84
X25C_0N_301	"25 %C"	"#003366"	control	894.2	0.162	6.30	23.49	1.409	0.061	1.51	11.93	3.4	19.4	994.8	51.1	8.8	0.80
X25C_0N_404	"25 %C"	"#003366"	control	993.7	0.208	6.12	25.62	1.429	0.050	1.41	9.56	3.1	20.9	1323.7	63.3	7.8	0.58
X25C_80N_104	"25 %C"	"#003366"	80	763.3	0.156	6.12	27.65	1.503	0.049	1.48	11.32	2.6	21.5	1457.7	67.9	10.9	0.46
X25C_80N_201	"25 %C"	"#003366"	80	1453.8	0.264	6.34	23.01	1.372	0.060	1.35	10.91	3.1	19.6	990.7	50.6	8.8	0.74
X25C_80N_302	"25 %C"	"#003366"	80	1706.4	0.329	6.13	24.77	1.434	0.054	1.49	12.25	3.3	20.2	1185.0	58.8	9.2	0.69
X25C_80N_401	"25 %C"	"#003366"	80	1277	0.239	6.39	22.55	1.390	0.060	1.24	9.53	3.0	18.9	970.9	51.3	8.0	0.71
