Index	Element	Class	Class_no	Class_color	Category	Category_color	Category_no	Gene_name	Gene_fxn	Gene
1	Carbon	C_carbohydrates	C_1.C_Carb	"#D31B1D"	Sugars	"#E15257"	C_1.1.Sug	Sug_glu_COG1501	"Alpha-glucosidases_family 31 of glycosyl hydrolases"	COG1501
2	Carbon	C_carbohydrates	C_1.C_Carb	"#D31B1D"	Sugars	"#E15257"	C_1.1.Sug	Sug_glu_COG2723	"Beta-glucosidase/6-phospho-beta-glucosidase/beta-galactosidase"	COG2723
3	Carbon	C_carbohydrates	C_1.C_Carb	"#D31B1D"	Sugars	"#E15257"	C_1.1.Sug	Sug_glu_COG1472	"Beta-glucosidase-related glycosidases"	COG1472
4	Carbon	C_carbohydrates	C_1.C_Carb	"#D31B1D"	Sugars	"#E15257"	C_1.1.Sug	Sug_glu_COG1486	"Alpha-galactosidases/6-phospho-beta-glucosidases_family 4 of glycosyl hydrolases"	COG1486
5	Carbon	C_carbohydrates	C_1.C_Carb	"#D31B1D"	Sugars	"#E15257"	C_1.1.Sug	Sug_gal_COG3345	"Alpha-galactosidase"	COG3345
6	Carbon	C_carbohydrates	C_1.C_Carb	"#D31B1D"	Sugars	"#E15257"	C_1.1.Sug	Sug_gal_COG1874	"Beta-galactosidase"	COG1874
7	Carbon	C_carbohydrates	C_1.C_Carb	"#D31B1D"	Sugars	"#E15257"	C_1.1.Sug	Sug_gal_COG2731	"Beta-galactosidase_beta subunit"	COG2731
8	Carbon	C_carbohydrates	C_1.C_Carb	"#D31B1D"	Sugars	"#E15257"	C_1.1.Sug	Sug_gal_COG3250	"Beta-galactosidase/beta-glucuronidase"	COG3250
9	Carbon	C_carbohydrates	C_1.C_Carb	"#D31B1D"	Sugars	"#E15257"	C_1.1.Sug	Sug_man_COG0383	"Alpha-mannosidase"	COG0383
10	Carbon	C_carbohydrates	C_1.C_Carb	"#D31B1D"	Sugars	"#E15257"	C_1.1.Sug	Sug_man_COG3537	"Putative alpha-1,2-mannosidase"	COG3537
11	Carbon	C_carbohydrates	C_1.C_Carb	"#D31B1D"	Polysacch.	"#D31B1D"	C_1.2.PS	PS_aml_COG1449	"Alpha-amylase/alpha-mannosidase"	COG1449
12	Carbon	C_carbohydrates	C_1.C_Carb	"#D31B1D"	Polysacch.	"#D31B1D"	C_1.2.PS	PS_aml_COG3387	"Glucoamylase and related glycosyl hydrolases"	COG3387
13	Carbon	C_carbohydrates	C_1.C_Carb	"#D31B1D"	Polysacch.	"#D31B1D"	C_1.2.PS	PS_cbh_COG5297	"Cellobiohydrolase A (1,4-beta-cellobiosidase A)"	COG5297
14	Carbon	C_carbohydrates	C_1.C_Carb	"#D31B1D"	Polysacch.	"#D31B1D"	C_1.2.PS	PS_cel_COG1363	"Cellulase M and related proteins"	COG1363
15	Carbon	C_carbohydrates	C_1.C_Carb	"#D31B1D"	Polysacch.	"#D31B1D"	C_1.2.PS	PS_chtn_COG3325	"Chitinase"	COG3325
16	Carbon	C_carbohydrates	C_1.C_Carb	"#D31B1D"	Polysacch.	"#D31B1D"	C_1.2.PS	PS_chtn_COG3469	"Chitinase"	COG3469
17	Carbon	C_carbohydrates	C_1.C_Carb	"#D31B1D"	Polysacch.	"#D31B1D"	C_1.2.PS	PS_xyl_COG0726	"Predicted xylanase/chitin deacetylase"	COG0726
18	Carbon	C_carbohydrates	C_1.C_Carb	"#D31B1D"	Polysacch.	"#D31B1D"	C_1.2.PS	PS_xyl_COG3693	"Beta-1,4-xylanase"	COG3693
19	Carbon	C_carbohydrates	C_1.C_Carb	"#D31B1D"	Oth. carbohyd.	"#AE0000"	C_1.3.CH	CH_abc_COG1134	"ABC-type polysaccharide/polyol phosphate transport system_ATPase component"	COG1134
20	Carbon	C_carbohydrates	C_1.C_Carb	"#D31B1D"	Oth. carbohyd.	"#AE0000"	C_1.3.CH	CH_por_COG3659	"Carbohydrate-selective porin"	COG3659
21	Carbon	C_carbohydrates	C_1.C_Carb	"#D31B1D"	Oth. carbohyd.	"#AE0000"	C_1.3.CH	CH_pectate_COG3866	"Pectate lyase"	COG3866
22	Carbon	C_aromatics	C_2.C_Arm	"#3A0000"	Aromatic	"#740000"	C_2.1.Arm	Arm_Lacc_COG1496	"Multi-copper polyphenol oxidoreductase laccase"	COG1496
23	Carbon	C_aromatics	C_2.C_Arm	"#3A0000"	Aromatic	"#740000"	C_2.1.Arm	Arm_Cuox_COG2132	"Putative multicopper oxidases"	COG2132
24	Carbon	C_aromatics	C_2.C_Arm	"#3A0000"	Aromatic	"#740000"	C_2.1.Arm	Arm_phnox_COG4313	"Protein involved in meta-pathway of phenol degradation"	COG4313
25	Carbon	C_aromatics	C_2.C_Arm	"#3A0000"	Aromatic	"#740000"	C_2.1.Arm	Arm_cbxl_COG2272	"Carboxylesterase type B"	COG2272
26	Carbon	C_aromatics	C_2.C_Arm	"#3A0000"	Aromatic	"#740000"	C_2.1.Arm	Arm_ringX_COG3805	"Aromatic ring-cleaving dioxygenase"	COG3805
27	Carbon	C_aromatics	C_2.C_Arm	"#3A0000"	Aromatic	"#740000"	C_2.1.Arm	Arm_ringHX_COG4638	"Phenylpropionate dioxygenase and related ring-hydroxylating dioxygenases_large terminal subunit"	COG4638
28	Carbon	C_aromatics	C_2.C_Arm	"#3A0000"	Aromatic	"#740000"	C_2.1.Arm	Arm_ringHX_COG2368	"Aromatic ring hydroxylase"	COG2368
29	Carbon	C_aromatics	C_2.C_Arm	"#3A0000"	Aromatic	"#740000"	C_2.1.Arm	Arm_bzCoa_COG1775	"Benzoyl-CoA reductase/2-hydroxyglutaryl-CoA dehydratase subunit_BcrC/BadD/HgdB"	COG1775
30	Carbon	C_aromatics	C_2.C_Arm	"#3A0000"	Aromatic	"#740000"	C_2.1.Arm	Arm_uncprt_COG2050	"Uncharacterized protein_possibly involved in aromatic compounds catabolism"	COG2050
31	Carbon	C_aromatics	C_2.C_Arm	"#3A0000"	Aromatic	"#740000"	C_2.1.Arm	Arm_phdcbxl_COG3479	"Phenolic acid decarboxylase"	COG3479
32	Carbon	C_aromatics	C_2.C_Arm	"#3A0000"	Aromatic	"#740000"	C_2.1.Arm	arm_RingX_COG2514	"Predicted ring-cleavage extradiol dioxygenase"	COG2514
33	Carbon	C_aromatics	C_2.C_Arm	"#3A0000"	Aromatic	"#740000"	C_2.1.Arm	arm_RingX_COG3565	"Predicted dioxygenase of extradiol dioxygenase family"	COG3565
34	Carbon	C_aromatics	C_2.C_Arm	"#3A0000"	Aromatic	"#740000"	C_2.1.Arm	arm_Naptha_COG3917	"2-hydroxychromene-2-carboxylate isomerase"	COG3917
35	Carbon	C_aromatics	C_2.C_Arm	"#3A0000"	Trap transp.	"#3A0000"	C_2.2.Trap	TRAP_C4_ferm_COG1638	"TRAP-type C4-dicarboxylate transport system_periplasmic component"	COG1638
36	Carbon	C_aromatics	C_2.C_Arm	"#3A0000"	Trap transp.	"#3A0000"	C_2.2.Trap	TRAP_C4_ferm_COG1593	"TRAP-type C4-dicarboxylate transport system_large permease component"	COG1593
37	Carbon	C_aromatics	C_2.C_Arm	"#3A0000"	Trap transp.	"#3A0000"	C_2.2.Trap	TRAP_mannitol_COG4663	"TRAP-type mannitol/chloroaromatic compound transport system_periplasmic component"	COG4663
38	Carbon	C_aromatics	C_2.C_Arm	"#3A0000"	Trap transp.	"#3A0000"	C_2.2.Trap	TRAP_mannitol_COG4664	"TRAP-type mannitol/chloroaromatic compound transport system_large permease component"	COG4664
39	Carbon	C_aromatics	C_2.C_Arm	"#3A0000"	Trap transp.	"#3A0000"	C_2.2.Trap	TRAP_mannitol_COG4665	"TRAP-type mannitol/chloroaromatic compound transport system_small permease component"	COG4665
40	Nitrogen	N_dissimilation	N_1.N_Diss	"#00C400"	Denitrification	"#00E100"	N_1.1.Dnt	Dnt_NapANarBG_COG0243	"Anaerobic dehydrogenases_typically selenocysteine-containing"	COG0243
41	Nitrogen	N_dissimilation	N_1.N_Diss	"#00C400"	Denitrification	"#00E100"	N_1.1.Dnt	Dnt_NapB_COG3043	"Nitrate reductase cytochrome c-type subunit"	COG3043
